發佈時間,標題,描述,來源,連結
2023-03-18 07:00:00,"Trump says he expects to be arrested, calls for protest - The Associated Press","<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQMFVxQXBPc2JGdkhtcTBPMkZfUXdqX2hwNWtxZVpPM3pkenJEc0JvcmtENlVSeTRaeG5HdC1UZlkzMXhHUGpxLUxwNTc0WmtxeFJadTE1Q3l1My1fR2wtdkpCSG1nS1lONi1fTGNYWHVkLXJTQXpaelRoUTZHRDVwS2pSUHRmYlN5TjlkWWpXRFBXM0gwWm5YTndzbzRGRnk1N2dlSWtST1pxN3BLci05ZmV1eGtxQQ?oc=5"" target=""_blank"">Trump says he expects to be arrested, calls for protest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Associated Press</font>",The Associated Press,https://news.google.com/rss/articles/CBMitgFBVV95cUxQMFVxQXBPc2JGdkhtcTBPMkZfUXdqX2hwNWtxZVpPM3pkenJEc0JvcmtENlVSeTRaeG5HdC1UZlkzMXhHUGpxLUxwNTc0WmtxeFJadTE1Q3l1My1fR2wtdkpCSG1nS1lONi1fTGNYWHVkLXJTQXpaelRoUTZHRDVwS2pSUHRmYlN5TjlkWWpXRFBXM0gwWm5YTndzbzRGRnk1N2dlSWtST1pxN3BLci05ZmV1eGtxQQ?oc=5
2023-03-17 07:00:00,"Trump Failed to Follow Law on Foreign Gifts, House Democrats Say (Published 2023) - The New York Times","<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTFByeUcwSnpobzgzbURPMU9LQmVUbm5YdVdzM3BXS3NQd2FDTnRJM0t0MXRYUXJCLUFMaU1hb0lCbVpnUkR3b2Zxa3VIcW16R0RvSDNRdWlaSlQzYTVWb19ZeFRxNVB1UmZtcF96TlJZcHo?oc=5"" target=""_blank"">Trump Failed to Follow Law on Foreign Gifts, House Democrats Say (Published 2023)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",The New York Times,https://news.google.com/rss/articles/CBMicEFVX3lxTFByeUcwSnpobzgzbURPMU9LQmVUbm5YdVdzM3BXS3NQd2FDTnRJM0t0MXRYUXJCLUFMaU1hb0lCbVpnUkR3b2Zxa3VIcW16R0RvSDNRdWlaSlQzYTVWb19ZeFRxNVB1UmZtcF96TlJZcHo?oc=5
2023-03-18 07:00:00,"Pence, in Iowa, characterizes potential Trump prosecution as ‘politically motivated’ - Iowa Capital Dispatch","<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxQZnlRTUpUVjdOTTJQTURzVVNNcEJTajZaczdLd2ZnbUszV2dteG9HbTVIYVFWMmtnTnJfSVVHaGVuRV9WaG9VSmQwRHhnY015N1dIREZ0ZnVjazZJOE54S0VFVFZmeTlsRS1uVEgyNXFYQTdfb1c3QUhrdEpnbnV3cERXajJOXzRUTVI3ckhLZ3MzTlpqMWFGSjltelQyYkNmRkxVLTdUNENsOENsY1h0M1RpWDBZZXVack9GbWtiNGlGZw?oc=5"" target=""_blank"">Pence, in Iowa, characterizes potential Trump prosecution as ‘politically motivated’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Iowa Capital Dispatch</font>",Iowa Capital Dispatch,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQZnlRTUpUVjdOTTJQTURzVVNNcEJTajZaczdLd2ZnbUszV2dteG9HbTVIYVFWMmtnTnJfSVVHaGVuRV9WaG9VSmQwRHhnY015N1dIREZ0ZnVjazZJOE54S0VFVFZmeTlsRS1uVEgyNXFYQTdfb1c3QUhrdEpnbnV3cERXajJOXzRUTVI3ckhLZ3MzTlpqMWFGSjltelQyYkNmRkxVLTdUNENsOENsY1h0M1RpWDBZZXVack9GbWtiNGlGZw?oc=5
2023-03-17 07:00:00,Trump returns to Facebook - Reuters,"<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE5paGlfUG5PNHYxbHloTF9IMHdzVmRGSG42aWdwXy1NanRIUzdsUzMxaEJIMHVIXzFhd09GT1pfb0I0VW85aHhUSktSSFFGZHZNZEpHOEFNM3RlUjc1VkpXS3hzdlZMa2JTcmhyUy1RdnVEVFRJc0E?oc=5"" target=""_blank"">Trump returns to Facebook</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font>",Reuters,https://news.google.com/rss/articles/CBMidkFVX3lxTE5paGlfUG5PNHYxbHloTF9IMHdzVmRGSG42aWdwXy1NanRIUzdsUzMxaEJIMHVIXzFhd09GT1pfb0I0VW85aHhUSktSSFFGZHZNZEpHOEFNM3RlUjc1VkpXS3hzdlZMa2JTcmhyUy1RdnVEVFRJc0E?oc=5
2023-03-17 07:00:00,YouTube reinstates Donald Trump's channel - BBC.com,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTE5XbVJ1eWp6OXZUdzFTYmdLMTREVUh1QzFVSjgzcGw0QmZpejZkbVV4QVFOUzFIMmo4ZFNLYTRkQ2pPdjhtcW9MVVItZDhRdVZBSUg3a21Fb9IBXEFVX3lxTE1Oc1ZlbndMVEZVeGVXMFExZ0xtUDBIeThHLW1ma2FkN1BybmFueG14U1FSS2ZRbXZScG4tdXZZVXZUTk1jSkZmN0VKMERkVDdzeFlIdEp5NFp5OFZC?oc=5"" target=""_blank"">YouTube reinstates Donald Trump's channel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC.com</font>",BBC.com,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5XbVJ1eWp6OXZUdzFTYmdLMTREVUh1QzFVSjgzcGw0QmZpejZkbVV4QVFOUzFIMmo4ZFNLYTRkQ2pPdjhtcW9MVVItZDhRdVZBSUg3a21Fb9IBXEFVX3lxTE1Oc1ZlbndMVEZVeGVXMFExZ0xtUDBIeThHLW1ma2FkN1BybmFueG14U1FSS2ZRbXZScG4tdXZZVXZUTk1jSkZmN0VKMERkVDdzeFlIdEp5NFp5OFZC?oc=5
2023-03-17 07:00:00,Former President Donald Trump’s first 2024 campaign rally will be in Waco - The Texas Tribune,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNb2FDbHRSTkRrVmVpdmlyT0VOZlpNaEFGczZvTGoyUDRWTlVqbGR2QVZ5eHhrYmdGMzlsQV9vNnZxNDlGR29TUEhmWllyRGVYdjlFTEY4cFVJa1JNQUY0YWRzbGNzMVdRZW9wcWlZUUstTHpucEcxWW1rQTRDa0htRlJORDNyWEJ4?oc=5"" target=""_blank"">Former President Donald Trump’s first 2024 campaign rally will be in Waco</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Texas Tribune</font>",The Texas Tribune,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNb2FDbHRSTkRrVmVpdmlyT0VOZlpNaEFGczZvTGoyUDRWTlVqbGR2QVZ5eHhrYmdGMzlsQV9vNnZxNDlGR29TUEhmWllyRGVYdjlFTEY4cFVJa1JNQUY0YWRzbGNzMVdRZW9wcWlZUUstTHpucEcxWW1rQTRDa0htRlJORDNyWEJ4?oc=5
2023-03-17 07:00:00,"Trump and his family failed to report nearly $300,000-worth of gifts from foreign governments, House Democrats allege in new report - CNN","<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxNZkUxd09TVGtZWjJTaUg5RVRxZ2FJM1ZXYjJqbUdmZ2RfTHU4LU9rOXNMMXQwdjRQWDlYc3pqMWFtSEljbXhjc21IMEExazJNeng5b201RUVodEo1NUlpUk03SEF1Y25saG84X2Z2djlOSlRTb2tSWTYyaGplNDF2V21mSUZqQdIBfEFVX3lxTFBPYnpYVDlpOTdmVzR6Q193bWRPNEM5UGRPVXRYU2Qwc1paUWxzQ1BpdTlXOWg4RE1qd2p3TFN1OWpDX1FBYkRYMjJOUEV2d0J5V0RSM1BSTjNQYlFpZFZYd3ZILXBJczhMOS1BUnRXZktVQ2h6MFdXMFlMbUY?oc=5"" target=""_blank"">Trump and his family failed to report nearly $300,000-worth of gifts from foreign governments, House Democrats allege in new report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",CNN,https://news.google.com/rss/articles/CBMihgFBVV95cUxNZkUxd09TVGtZWjJTaUg5RVRxZ2FJM1ZXYjJqbUdmZ2RfTHU4LU9rOXNMMXQwdjRQWDlYc3pqMWFtSEljbXhjc21IMEExazJNeng5b201RUVodEo1NUlpUk03SEF1Y25saG84X2Z2djlOSlRTb2tSWTYyaGplNDF2V21mSUZqQdIBfEFVX3lxTFBPYnpYVDlpOTdmVzR6Q193bWRPNEM5UGRPVXRYU2Qwc1paUWxzQ1BpdTlXOWg4RE1qd2p3TFN1OWpDX1FBYkRYMjJOUEV2d0J5V0RSM1BSTjNQYlFpZFZYd3ZILXBJczhMOS1BUnRXZktVQ2h6MFdXMFlMbUY?oc=5
2023-03-18 07:00:00,What Happens Next After Donald Trump’s Indictment - TIME,"<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTFAxXzdXdWNOSFE0OUtta25yZldRckdmaXVEVlVLZWx5ekU3c1FXZFlUWjZGZUFkUjB5blFGWWF0VENuRk9xSzZPUFpaZzNIdlNld0FDX1c1ckJGUEd1bmd1d2pUS0ZJWmNq?oc=5"" target=""_blank"">What Happens Next After Donald Trump’s Indictment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TIME</font>",TIME,https://news.google.com/rss/articles/CBMiaEFVX3lxTFAxXzdXdWNOSFE0OUtta25yZldRckdmaXVEVlVLZWx5ekU3c1FXZFlUWjZGZUFkUjB5blFGWWF0VENuRk9xSzZPUFpaZzNIdlNld0FDX1c1ckJGUEd1bmd1d2pUS0ZJWmNq?oc=5
2023-03-17 07:00:00,Over 100 Trump presidential gifts unaccounted for: US Democrats - Al Jazeera English,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPWmFLNFplbUhwUHpKaTBhRXJkWFZUZUpIanVuNlFIcGlNM1R4YlBoYWVYdE11UG9HTVotVTAyeDcyaUE1ZWMxUktoV0owVTUtcnpEbXFBSkVEaFdQY1plaXB0bDVWQUR0cVE4RjZlTmE3OFVLLU1Uc0tBZ1NJY0ltTE9UQkg1US15VDZUcXVNVk5uTktiV3pDNXJUWExrSlM3M3I1VHB0TTFKcnpialFmQXhMYUt2d9IBuwFBVV95cUxNaFhmZkpHU2tmZ3l2cl9sS0xZa003T3dZT24wQkRNTkVYbnVKTEU5dE5YM1F2OFFXcTJsUU9IbkdMcVhfby0wUDd4MDcxeUt2bVotM0l3QlhzUHg5eGxBYXE2Y1NuS1hBVnB0MXhtb3VhYTRTZVRtZGZuYnpsVGdzdUxyUzY4REpERml2QjJKczJtVTV2ZXNzQTZ1b0R3NF9XTVZnbFB2QmItTlQtaGRtRU1CcXpSeFFwM3pr?oc=5"" target=""_blank"">Over 100 Trump presidential gifts unaccounted for: US Democrats</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font>",Al Jazeera English,https://news.google.com/rss/articles/CBMitgFBVV95cUxPWmFLNFplbUhwUHpKaTBhRXJkWFZUZUpIanVuNlFIcGlNM1R4YlBoYWVYdE11UG9HTVotVTAyeDcyaUE1ZWMxUktoV0owVTUtcnpEbXFBSkVEaFdQY1plaXB0bDVWQUR0cVE4RjZlTmE3OFVLLU1Uc0tBZ1NJY0ltTE9UQkg1US15VDZUcXVNVk5uTktiV3pDNXJUWExrSlM3M3I1VHB0TTFKcnpialFmQXhMYUt2d9IBuwFBVV95cUxNaFhmZkpHU2tmZ3l2cl9sS0xZa003T3dZT24wQkRNTkVYbnVKTEU5dE5YM1F2OFFXcTJsUU9IbkdMcVhfby0wUDd4MDcxeUt2bVotM0l3QlhzUHg5eGxBYXE2Y1NuS1hBVnB0MXhtb3VhYTRTZVRtZGZuYnpsVGdzdUxyUzY4REpERml2QjJKczJtVTV2ZXNzQTZ1b0R3NF9XTVZnbFB2QmItTlQtaGRtRU1CcXpSeFFwM3pr?oc=5
2023-03-17 07:00:00,Trump vs. DeSantis: Rivals’ very different styles on display - The Associated Press,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxPNmQ4VDdOMDdEaWotRThKc0VsYlktLXN4YmszNDFsTkxKNEVFVWlSRzdmX0hYTHVla0w2bTFuVWRnZURBZ3NhamUza2ZBMzdNM05DYWNpQThJelpfNlNEYUR4WW1jdTlpOGtuZENlbzZaTW8ySUhzWXN2Z0ZkTmJSajRKX3J2bm9CWTFVSHA4UFZoTl9EeVpkanptaEttRHY5VEo5NUlIdEdzOERVeEE?oc=5"" target=""_blank"">Trump vs. DeSantis: Rivals’ very different styles on display</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Associated Press</font>",The Associated Press,https://news.google.com/rss/articles/CBMirgFBVV95cUxPNmQ4VDdOMDdEaWotRThKc0VsYlktLXN4YmszNDFsTkxKNEVFVWlSRzdmX0hYTHVla0w2bTFuVWRnZURBZ3NhamUza2ZBMzdNM05DYWNpQThJelpfNlNEYUR4WW1jdTlpOGtuZENlbzZaTW8ySUhzWXN2Z0ZkTmJSajRKX3J2bm9CWTFVSHA4UFZoTl9EeVpkanptaEttRHY5VEo5NUlIdEdzOERVeEE?oc=5
2023-03-17 07:00:00,Judge Rules Trump Lawyer Must Testify in Documents Inquiry (Published 2023) - The New York Times,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxQcFRnUGRhb216TEY3bm92QVlTUm5ObzVXQ0p1bjZQaFFVdkFBMVpSdzAzMWIxc2NDYTFYWVVkV2JhbmJ4S0xsd3dMVGNnY1QwMmNmRzQ0dFhCNGl0SjgtY3ltekpWSWhRdERIcUdsMEtrVDJsTVJZenlIa0lVZlVqaGVmbW43Rkhtd3c?oc=5"" target=""_blank"">Judge Rules Trump Lawyer Must Testify in Documents Inquiry (Published 2023)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font>",The New York Times,https://news.google.com/rss/articles/CBMiigFBVV95cUxQcFRnUGRhb216TEY3bm92QVlTUm5ObzVXQ0p1bjZQaFFVdkFBMVpSdzAzMWIxc2NDYTFYWVVkV2JhbmJ4S0xsd3dMVGNnY1QwMmNmRzQ0dFhCNGl0SjgtY3ltekpWSWhRdERIcUdsMEtrVDJsTVJZenlIa0lVZlVqaGVmbW43Rkhtd3c?oc=5
